,question,answer,intent,reward,feedback
91,"Quan hệ hôn nhân có được công nhận nếu nam, nữ thực hiện việc đăng ký kết hôn sau khi chung sống như vợ chồng?","Có, nếu nam, nữ chung sống như vợ chồng theo quy định tại Điều 14, nhưng sau đó thực hiện việc đăng ký kết hôn theo quy định của pháp luật, quan hệ hôn nhân sẽ được công nhận từ thời điểm đăng ký kết hôn.",CHUONG_2,0.72374055,
92,"Nam, nữ chung sống như vợ chồng có được công nhận quan hệ hôn nhân theo Điều 14 không?","Không, nam, nữ chung sống như vợ chồng mà không đăng ký kết hôn không được công nhận quan hệ hôn nhân theo quy định của Luật này.",CHUONG_2,0.723035385,
93,"Theo Điều 14 của Luật, việc giải quyết quyền, nghĩa vụ đối với con và tài sản giữa nam, nữ chung sống như vợ chồng được thực hiện theo quy định nào?","Việc giải quyết quyền, nghĩa vụ đối với con, tài sản và hợp đồng giữa nam, nữ chung sống như vợ chồng sẽ được thực hiện theo quy định tại Điều 15 và Điều 16 của Luật này.",CHUONG_2,0.72233022,
94,"Theo Điều 15 của Luật, quyền, nghĩa vụ giữa nam, nữ chung sống với nhau như vợ chồng và con được giải quyết theo quy định nào?","Quyền, nghĩa vụ giữa nam, nữ chung sống với nhau như vợ chồng và con được giải quyết theo quy định của Luật này về quyền, nghĩa vụ của cha mẹ và con.",CHUONG_2,0.721625056,
95,"Theo Điều 16 của Luật, quan hệ tài sản, nghĩa vụ và hợp đồng của nam, nữ chung sống với nhau như vợ chồng mà không đăng ký kết hôn được giải quyết như thế nào?","Quan hệ tài sản, nghĩa vụ và hợp đồng của nam, nữ chung sống với nhau như vợ chồng mà không đăng ký kết hôn được giải quyết theo thỏa thuận giữa các bên; trong trường hợp không có thỏa thuận thì giải quyết theo quy định của Bộ luật dân sự và các quy định khác của pháp luật có liên quan.",CHUONG_2,0.720919891,
96,"Việc giải quyết quan hệ tài sản trong trường hợp nam, nữ chung sống như vợ chồng mà không đăng ký kết hôn bảo đảm điều gì?","Việc giải quyết quan hệ tài sản phải bảo đảm quyền, lợi ích hợp pháp của phụ nữ và con; công việc nội trợ và công việc khác có liên quan để duy trì đời sống chung được coi như lao động có thu nhập.",CHUONG_2,0.720214726,
97,"Nam, nữ chung sống như vợ chồng mà không đăng ký kết hôn có được thỏa thuận giải quyết quan hệ tài sản không?","Có, nam, nữ chung sống như vợ chồng mà không đăng ký kết hôn có thể thỏa thuận giải quyết quan hệ tài sản giữa họ.",CHUONG_2,0.719509561,
98,"Theo Điều 16 của Luật, quyền, lợi ích hợp pháp của ai phải được bảo đảm khi giải quyết quan hệ tài sản?","Theo Điều 16 của Luật, quyền, lợi ích hợp pháp của phụ nữ và con phải được bảo đảm khi giải quyết quan hệ tài sản.",CHUONG_2,0.718804396,
99,"Quan hệ nội trợ và công việc khác liên quan để duy trì đời sống chung của nam, nữ chung sống như vợ chồng được coi như là gì?","Quan hệ nội trợ và công việc khác liên quan để duy trì đời sống chung của nam, nữ chung sống như vợ chồng được coi như là lao động có thu nhập.",CHUONG_2,0.718099231,
100,"Theo Điều 15 của Luật, quyền, nghĩa vụ giữa nam, nữ chung sống với nhau như vợ chồng và con được giải quyết theo quy định nào?","Quyền, nghĩa vụ giữa nam, nữ chung sống với nhau như vợ chồng và con được giải quyết theo quy định của Luật này về quyền, nghĩa vụ của cha mẹ và con.",CHUONG_2,0.717394066,
101,"Trong trường hợp nam, nữ không có thỏa thuận giải quyết quan hệ tài sản, quy định pháp luật nào sẽ được áp dụng?","Trong trường hợp nam, nữ chung sống như vợ chồng mà không đăng ký kết hôn và không có thỏa thuận giải quyết quan hệ tài sản, quy định của Bộ luật dân sự và các quy định khác của pháp luật có liên quan sẽ được áp dụng.",CHUONG_2,0.716688902,
102,"Việc giải quyết quan hệ tài sản của nam, nữ chung sống như vợ chồng thực hiện như thế nào nếu không có thỏa thuận?","Nếu không có thỏa thuận giải quyết, việc giải quyết quan hệ tài sản của nam, nữ chung sống như vợ chồng sẽ được thực hiện theo quy định của Bộ luật dân sự và các quy định khác của pháp luật có liên quan.",CHUONG_2,0.715983737,
103,"Quyền, lợi ích hợp pháp của ai phải được đảm bảo khi giải quyết quan hệ tài sản của nam, nữ chung sống như vợ chồng?","Quyền, lợi ích hợp pháp của phụ nữ và con phải được đảm bảo khi giải quyết quan hệ tài sản của nam, nữ chung sống như vợ chồng.",CHUONG_2,0.715278572,
