answer,intent
"Nếu cha, mẹ không trực tiếp nuôi con lạm dụng việc thăm nom để cản trở hoặc gây ảnh hưởng xấu, người trực tiếp nuôi con có quyền yêu cầu Tòa án hạn chế quyền thăm nom con của họ theo quy định của Điều 82.",05_82_3
"Cha, mẹ không trực tiếp nuôi con lạm dụng việc thăm nom cản trở gây ảnh hưởng xấu đến việc trông nom, chăm sóc, nuôi dưỡng, giáo dục con thì người trực tiếp nuôi con có quyền yêu cầu Tòa án hạn chế quyền thăm nom con của người đó",05_82_3
"Có thể yêu cầu tòa án hạn chế quyền thăm nom con của người không trực tiếp nuôi con nếu họ lợi dụng việc thăm nom để cản trở gây ảnh hưởng xấu đến việc trông nom, nuôi dưỡng, giáo dục con của người trực tiếp nuôi con.",05_82_3
"Theo Điều 83, cha, mẹ trực tiếp nuôi con có quyền yêu cầu người không trực tiếp nuôi con thực hiện các nghĩa vụ theo quy định tại Điều 82 của Luật Hôn Nhân và Gia Đình; yêu cầu người không trực tiếp nuôi con cùng các thành viên gia đình tôn trọng quyền được nuôi con của mình.",05_83_1
"Trường hợp người mẹ là người trực tiếp nuôi con theo quyết định tòa án, có quyền yêu cầu người không trực tiếp nuôi con và các thành viên gia đình tôn trọng quyền nuôi con của mình.",05_83_1
"Có, mẹ trực tiếp nuôi con có quyền yêu cầu người không trực tiếp nuôi con thực hiện các nghĩa vụ của người không trực tiếp nuôi con sau khi ly hôn, gồm tôn trọng quyền của con sống chung với người trực tiếp nuôi, cấp dưỡng cho con.",05_83_1
"Theo Điều 83, cha, mẹ trực tiếp nuôi con có nghĩa vụ tôn trọng quyền của con được sống chung với người trực tiếp nuôi theo quy định tại Điều 82; không được cản trở người không trực tiếp nuôi con trong việc thăm nom, chăm sóc, nuôi dưỡng, giáo dục con.",05_83_2
"Không, người trực tiếp nuôi con cùng thành viên gia đình không được cản trở người không trực tiếp nuôi con thăm nom, chăm sóc nuôi dưỡng, giáo dục con.",05_83_2
"Theo Điều 84, Tòa án có thể quyết định việc thay đổi người trực tiếp nuôi con trong trường hợp có yêu cầu của cha, mẹ hoặc cá nhân, tổ chức và khi có một trong các căn cứ như thỏa thuận của cha, mẹ phù hợp với lợi ích của con hoặc người trực tiếp nuôi con không đủ điều kiện trực tiếp trông nom, chăm sóc, nuôi dưỡng, giáo dục con.",05_84_1
Có thể yêu cầu Tòa án quyết định việc thay đổi người trực tiếp nuôi con tùy vào các trường hợp.,05_84_1
"Theo Điều 84, việc thay đổi người trực tiếp nuôi con được giải quyết khi có một trong các căn cứ như thỏa thuận của cha, mẹ phù hợp với lợi ích của con hoặc người trực tiếp nuôi con không còn đủ điều kiện trực tiếp trông nom, chăm sóc, nuôi dưỡng, giáo dục con.",05_84_2
Trường hợp cha mẹ có thỏa thuận việc thay đổi người trực tiếp nuôi con phù hợp với lợi ích của con.,05_84_2
Cha mẹ cần chú ý người trực tiếp nuôi con phù hợp với lợi ích của con,05_84_2
"Cha mẹ có thỏa thuận việc thay đổi người trực tiếp nuôi phù hợp với lợi ích của con. Người trực tiếp nuôi con không còn đủ điều kiện trực tiếp trông nom, chăm sóc, nuôi dưỡng, giáo dục con.",05_84_2
"Có, Người trực tiếp nuôi con không còn đủ điều kiện trực tiếp trông nom, chăm sóc, nuôi dưỡng, giáo dục con căn cứ theo điều kiện này được quyền yêu cầu tòa thay đổi người trực tiếp nuôi con",05_84_2
"Theo Điều 84, việc thay đổi người trực tiếp nuôi con phải xem xét nguyện vọng của con từ đủ 07 tuổi trở lên.",05_84_3
"Có, việc thay đổi người trực tiếp nuôi con phải xem xét nguyện vọng của con từ 7 tuổi trở lên.",05_84_3
Khi con từ đủ 7 tuổi trở lên phải xem xét nguyện vọng của con khi thay đổi người trực tiếp nuôi con,05_84_3
"Theo Điều 84, trong trường hợp xét thấy cả cha và mẹ đều không đủ điều kiện trực tiếp nuôi con, Tòa án quyết định giao con cho người giám hộ theo quy định của Bộ luật dân sự.",05_84_4
Tòa án quyết định giao con cho người giám hộ theo quy định của Bộ luật dân sự.,05_84_4
Trường hợp cả cha và mẹ đều không đủ điều kiện trực tiếp nuôi con thì Tòa án quyết định giao con cho người giám hộ theo quy định của Bộ luật dân sự,05_84_4
"Người thân thích, cơ quan quản lý nhà nước về gia đình, cơ quan quản lý nhà nước về trẻ em, hội liên hiệp phụ nữ có quyền yêu cầu thay đổi người trực tiếp nuôi con trên cơ sở lợi ích của con.",05_84_5
"Căn cứ cơ sở lợi ích của con có thể liên hệ các tổ chức cơ quan quản lý nhà nước về gia đình, cơ quan quản lý nhà nước về trẻ em, hội liên hiệp phụ nữ để yêu cầu thay đổi người trực tiếp nuôi con",05_84_5
"Theo Điều 85, cha, mẹ bị hạn chế quyền đối với con chưa thành niên trong các trường hợp như bị kết án về một trong các tội xâm phạm tính mạng, sức khỏe, nhân phẩm, danh dự của con với lỗi cố ý hoặc có hành vi vi phạm nghiêm trọng nghĩa vụ trông nom, chăm sóc, nuôi dưỡng, giáo dục con; phá tán tài sản của con; có lối sống đồi trụy; xúi giục, ép buộc con làm những việc trái pháp luật, trái đạo đức xã hội.",05_85_1
"Đối với con chưa thành niên, cha mẹ bị hạn chế quyền đối với con.",05_85_1
Cha mẹ có lối sống đồi trụy bị hạn chế quyền đối với con chưa thành niên,05_85_1
"Cha mẹ bị hạn chế quyền đối với con chưa thành niên trong các trường hợp: Bị kết án về một trong các tội xâm phạm tính mạng, sức khỏe, nhân phảm, danh dự của con, cố ý, vi phạm nghiêm trọng nghĩa vụ trông nom, chăm sóc, nuôi dưỡng, giáo dục con, phá tán tài sản của con, cố lối sống đồi trụy, xúi giục,ép buộc con làm những việc trái pháp luật, trái đạo dức xã hội.",05_85_1
"Theo Điều 85, Tòa án có thể tự mình hoặc theo yêu cầu của cá nhân, cơ quan, tổ chức quy định tại Điều 86 của Luật Hôn Nhân và Gia Đình ra quyết định không cho cha, mẹ trông nom, chăm sóc, giáo dục con, quản lý tài sản riêng của con hoặc đại diện theo pháp luật cho con trong thời hạn từ 01 năm đến 05 năm. Tòa án có thể xem xét việc rút ngắn thời hạn này.",05_85_2
"Theo Điều 85, Tòa án có thể tự mình hoặc theo yêu cầu của cá nhân, cơ quan, tổ chức quy định tại Điều 86 của Luật Hôn Nhân và Gia Đình ra quyết định hạn chế quyền của cha, mẹ đối với con chưa thành niên.",05_85_2
"Theo Điều 85, thời hạn hạn chế quyền của cha, mẹ đối với con chưa thành niên có thể là từ 01 năm đến 05 năm. Tòa án có thể xem xét việc rút ngắn thời hạn này.",05_85_2
"Cha, mẹ, người giám hộ của con chưa thành niên, theo quy định của pháp luật về tố tụng dân sự, có quyền yêu cầu Tòa án hạn chế quyền của cha, mẹ đối với con chưa thành niên.",05_86_1
"Mẹ, người giám hộ của con chưa thành niên có quyền yêu cầu Tòa án hạn chế quyền cha đối với con chưa thành niên",05_86_1
"Theo Điều 86, cá nhân, cơ quan, tổ chức sau đây, theo quy định của pháp luật về tố tụng dân sự, có quyền yêu cầu Tòa án hạn chế quyền của cha, mẹ đối với con chưa thành niên: a) Người thân thích; b) Cơ quan quản lý nhà nước về gia đình; c) Cơ quan quản lý nhà nước về trẻ em; d) Hội liên hiệp phụ nữ.",05_86_2
"Người thân thích, cơ quan quản lý nhà nước về gia đình, cơ quan quản lý nhà nước về trẻ em, hội liên hiệp phụ nữ có quyền yêu cầu Tòa án hạn chế quyền của cha mẹ đối với con chưa thành niên",05_86_2
"Được, người thân thích có quyền yêu cầu Tòa án hạn chế quyền của cha mẹ đối với con chưa thành niên trong trường hợp này.",05_86_2
"Theo Điều 86, cá nhân, cơ quan, tổ chức khác khi phát hiện cha, mẹ có hành vi vi phạm quy định tại khoản 1 Điều 85 của Luật Hôn Nhân và Gia Đình có quyền đề nghị cơ quan, tổ chức quy định tại các điểm b, c và d khoản 2 Điều này yêu cầu Tòa án hạn chế quyền của cha, mẹ đối với con chưa thành niên.",05_86_3
"Khi phát hiện cha mẹ có hành vi vị phạm với con chưa thành niên có quyền đề nghị cơ quan quản lý nhà nước về gia đình, cơ quan quản lý nhà nước về trẻ em, hội liên hiệp phụ nữ hạn chế quyền của cha mẹ đối với con.",05_86_3
"Trong trường hợp cha hoặc mẹ bị hạn chế quyền đối với con chưa thành niên, thì người kia thực hiện quyền trông nom, nuôi dưỡng, chăm sóc, giáo dục con, quản lý tài sản riêng của con và đại diện theo pháp luật cho con.",05_87_1
"Trong trường hợp cha hoặc mẹ bị Tòa án hạn chế quyền đối với con chưa thành niên thì người kia thực hiện uyền trông nom, nuôi dưỡng, giáo dục con, quản lý tài sản riêng của con và đại diện pháp luật cho con",05_87_1
"Việc trông nom, chăm sóc, giáo dục con và quản lý tài sản riêng của con chưa thành niên được giao cho người giám hộ theo quy định của Bộ luật dân sự và Luật Hôn Nhân và Gia Đình trong các trường hợp sau đây: a) Cha và mẹ đều bị Tòa án hạn chế quyền đối với con chưa thành niên; b) Một bên cha, mẹ không bị hạn chế quyền đối với con chưa thành niên nhưng không đủ điều kiện để thực hiện quyền, nghĩa vụ đối với con; c) Một bên cha, mẹ bị hạn chế quyền đối với con chưa thành niên và chưa xác định được bên cha, mẹ còn lại của con chưa thành niên.",05_87_2
Con được giao cho người giám hộ theo quy định khi mẹ bị hạn chế quyền với con và chưa xác định được bên cha của con chưa thành niên.,05_87_2
Con được giao cho người giám hộ theo quy định khi cha bị hạn chế quyền đối với con và mẹ không đủ điều kiện thực hiện quyền nghĩa vụ đối với con,05_87_2
"Việc trông nom, chăm sóc, giáo dục con và quản lý tài sản riêng của con chưa thành niên được giao cho người giám hộ theo quy định.",05_87_2
"Cha, mẹ đã bị Tòa án hạn chế quyền đối với con chưa thành niên vẫn phải thực hiện nghĩa vụ cấp dưỡng cho con.",05_87_3
"Có, đối với cha, mẹ bị Tòa án hạn chế quyền đối với con chưa thành niên vẫn phải thực hiện nghĩa vụ cấp dưỡng cho con",05_87_3
Con sinh ra trong thời kỳ hôn nhân hoặc do người vợ có thai trong thời kỳ hôn nhân là con chung của vợ chồng. Con được sinh ra trong thời hạn 300 ngày kể từ thời điểm chấm dứt hôn nhân được coi là con do người vợ có thai trong thời kỳ hôn nhân. Con sinh ra trước ngày đăng ký kết hôn và được cha mẹ thừa nhận là con chung của vợ chồng.,05_88_1
"Con sinh ra trong thời kỳ hôn nhân hoặc do người vợ có thai trong thời kỳ hôn nhân là con chung của vợ chồng, con sinh ra trong thời hạn 300 ngày kể từ thời điểm chấm dứt hôn nhân do người vợ có thai trong thời kỳ hôn nhân, sinh ra trước ngày đăng ký kết hôn và được cha mẹ thừa nhận.",05_88_1
Con sinh ra trước ngày đăng ký kết hôn và được cha mẹ thừa nhận là con chung của vợ chồng,05_88_1
"Có, con được sinh ra trong 300 ngày kể từ thời điểm chấm dứt hôn nhân được coi là con do người vợ có thai trong thời kỳ hôn nhân",05_88_1
"Trong trường hợp cha, mẹ không thừa nhận con thì phải có chứng cứ và phải được Tòa án xác định.",05_88_2
"Trường hợp cha, mẹ không thừa nhận con thì phải có chứng cứ và phải được Tòa án xác định",05_88_2
Khi cha mẹ không thừa nhận con phải có chứng cứ và được tòa xác định ,05_88_2
"Người không được nhận là cha, mẹ của một người có thể yêu cầu Tòa án xác định người đó là con mình.",05_89_1
"Có người không được nhận là cha, mẹ của một người có thể yêu cầu Tòa án xác định người đó là con mình",05_89_1
Cha mẹ của một người có thể yêu cầu Tòa án xác định con mình,05_89_1
"Người được nhận là cha, mẹ của một người có thể yêu cầu Tòa án xác định người đó không phải là con mình.",05_89_2
"Có, người được nhận là cha, mẹ của một người có thể yêu cầu Tòa án xác định người đó không phải là con mình.",05_89_2
"Khi người được nhận là cha, mẹ của một người có thể yêu cầu Tòa án xác định người đó không phải là con mình.",05_89_2
"Con đã thành niên có quyền nhận cha, không cần phải có sự đồng ý của mẹ; nhận mẹ, không cần phải có sự đồng ý của cha.",05_90_2
"Có, con đã thành niên nhận cha không cần phải có sự đồng ý của mẹ",05_90_2
"Có, con đã thành niên nhận mẹ không cần phải có sự đồng ý của cha",05_90_2
"Có, con có quyền nhận cha, mẹ của mình.",05_90_1
"Có, con có quyền nhận cha, mẹ của mình kể cả trong trường hợp cha, mẹ đã chết",05_90_1
"Con có quyền nhận cha, mẹ của mình, kể cả trong trường hợp cha, mẹ đã chết.",05_90_1
"Trong trường hợp người đang có vợ, chồng mà nhận con thì việc nhận con không cần phải có sự đồng ý của người kia.",05_91_2
"Được, trong trường hợp người đang có vợ, chồng mà nhận con thì việc nhận con không cần phải có sự đồng ý của người kia",05_91_2
"Có, cha mẹ có quyền nhận con kể cả trường hợp con đã chết.",05_91_1
Cha mẹ có quyền nhận con kể cả trong trường hợp con đã chết,05_91_1
"Cha, mẹ có quyền nhận con, kể cả trong trường hợp con đã chết.",05_91_1
"Trong trường hợp có yêu cầu về việc xác định cha, mẹ, con mà người có yêu cầu chết thì người thân thích của người này có quyền yêu cầu Tòa án xác định cha, mẹ, con cho người yêu cầu đã chết.",05_92
"Trong trường hợp có yêu cầu về việc xác định cha, mẹ, con mà người có yêu cầu chết thì người thân thích của người này có quyền yêu cầu Tòa án xác định cha, mẹ, con cho người yêu cầu đã chết.",05_92
"Trong trường hợp có yêu cầu về việc xác định cha, mẹ, con mà người có yêu cầu chết thì người thân thích của người này có quyền yêu cầu Tòa án xác định cha, mẹ, con cho người yêu cầu đã chết.",05_92
"Trong trường hợp người vợ sử dụng kỹ thuật hỗ trợ sinh sản, việc xác định cha, mẹ áp dụng theo quy định tại Điều 88.",05_93_1
"Trong trường hợp người phụ nữ sống độc thân sử dụng kỹ thuật hỗ trợ sinh sản, người phụ nữ đó là mẹ của đứa con được sinh ra.",05_93_2
"Phải, trong trường hợp người phụ nữ sống độc thân sinh con bằng kỹ thuật hỗ trợ sinh sản thì người phụ nữ đó là mẹ của con được sinh ra",05_93_2
"Trong trường hợp người phụ nữ sống độc thân sử dụng kỹ thuật hỗ trợ sinh sản, người phụ nữ đó là mẹ của đứa con được sinh ra.",05_93_2
"Việc sinh con bằng kỹ thuật hỗ trợ sinh sản không làm phát sinh quan hệ cha, mẹ và con giữa người cho tinh trùng, cho noãn, cho phôi với người con được sinh ra.",05_93_3
"Việc sinh con bằng kỹ thuật hỗ trợ sinh sản không làm phát sinh quan hệ cha, mẹ và con giữa người cho tinh trùng, cho noãn, cho phôi với người con được sinh ra.",05_93_3
"Việc sinh con bằng kỹ thuật hỗ trợ sinh sản không làm phát sinh quan hệ cha, mẹ và con giữa người cho tinh trùng, cho noãn, cho phôi với người con được sinh ra.",05_93_3
"Việc xác định cha, mẹ trong trường hợp mang thai hộ vì mục đích nhân đạo được áp dụng theo quy định tại Điều 94 của Luật Hôn Nhân và Gia Đình.",05_93_4
"Theo Điều 94, con sinh ra trong trường hợp mang thai hộ vì mục đích nhân đạo được coi là con chung của vợ chồng nhờ mang thai hộ, kể từ thời điểm con được sinh ra.",05_94
Trường hợp con sinh ra bằng biện pháp mang thai hộ vì mục đích nhân đạo là con chung của vợ chồng nhờ mang thai hộ kể từ thời điểm con được sinh ra,05_94
Việc mang thai hộ vì mục đích nhân đạo phải được thực hiện trên cơ sở tự nguyện của các bên và được lập thành văn bản.,05_95_1
"Không, việc mang thai hộ vì mục đích nhân đạo phải được thực hiện trên cơ sở tự nguyện của các bên và được lập thành văn bản",05_95_1
Khi mang thai hộ vì mục đích nhân đạo phải được thực hiện trên cơ sở tự nguyện của các bên và được lập thành văn bản,05_95_1
"Vợ chồng có quyền nhờ người mang thai hộ khi có xác nhận của tổ chức y tế về việc người vợ không thể mang thai, không có con chung, và đã được tư vấn về y tế, pháp lý, tâm lý.",05_95_2
"Có xác nhận của tổ chức y tế về việc người vợ không thể mang thai và sinh con ngay khi áp dụng kĩ thuật hỗ trợ sinh sản, vợ chồng đang không có con chung, đã được tư vấn về y tế, pháp lý, tâm lý.",05_95_2
"Không theo quy định vợ chồng đang không có con chung và có xác nhận vợ không thể mang thai và được tư vấn về y tế, pháp lý, tâm lý.",05_95_2
"Người được nhờ mang thai hộ phải là người thân thích cùng hàng của bên vợ hoặc bên chồng, đã từng sinh con và chỉ được mang thai hộ một lần, ở độ tuổi phù hợp, có xác nhận của tổ chức y tế về khả năng mang thai hộ, và đã được tư vấn về y tế, pháp lý, tâm lý.",05_95_3
"Người được nhờ mang thai hộ phải là người thân thích cùng hàng của bên vợ hoặc bên chồng, đã từng sinh con và chỉ được mang thai hộ một lần, ở độ tuổi phù hợp, có xác nhận của tổ chức y tế về khả năng mang thai hộ, và đã được tư vấn về y tế, pháp lý, tâm lý",05_95_3
Không người mang thai hộ phải là người thân thích cùng hàng bên vợ hoặc chồng,05_95_3
"Nếu người mang thai hộ là thân thích bên vợ hoặc chồng nhờ mang thai hộ, có chồng phải có sự đồng ý bằng văn bản của người chồng.",05_95_3
Việc mang thai hộ vì mục đích nhân đạo không được trái với quy định của pháp luật về sinh con bằng kỹ thuật hỗ trợ sinh sản.,05_95_4
Việc mang thai hộ vì mục đích nhân đạo không được trái với quy định của pháp luật về sinh con bằng kỹ thuật hỗ trợ sinh sản.,05_95_4
Có chính phủ quy định chi tiết về việc mang thai hộ vì mục đích nhân đạo,05_95_5
"Thỏa thuận về mang thai hộ phải bao gồm thông tin đầy đủ về bên nhờ mang thai hộ và bên mang thai hộ, cam kết thực hiện quyền, nghĩa vụ theo quy định của Điều 97 và Điều 98, giải quyết hậu quả tai biến sản khoa, hỗ trợ sức khỏe sinh sản cho người mang thai hộ, quyền và nghĩa vụ đối với con, và trách nhiệm dân sự trong trường hợp vi phạm cam kết.",05_96_1
"Thỏa thuận về mang thai hộ phải được lập thành văn bản có công chứng. Trong trường hợp ủy quyền, việc ủy quyền cũng phải được lập thành văn bản có công chứng. Việc ủy quyền cho người thứ ba không có giá trị pháp lý.",05_96_2
"Thỏa thuận về mang thai hộ phải được lập thành văn bản có công chứng. Trong trường hợp ủy quyền, việc ủy quyền cũng phải được lập thành văn bản có công chứng. Việc ủy quyền cho người thứ ba không có giá trị pháp lý.",05_96_2
Có trường hợp vợ chồng bên nhờ mang thai hộ ủy quyền cho nhau hoặc vợ chồng bên mang thai hộ ủy quyền cho nhau về việc thỏa thuận thì việc ủy quyền phải lập thành văn bản có công chứng. Ngoại trừ trường hợp ủy quyền cho người thứ ba không có giá trị pháp lý.,05_96_2
"Trong trường hợp thỏa thuận về mang thai hộ lập cùng với thỏa thuận với cơ sở y tế, thỏa thuận này phải có xác nhận của người có thẩm quyền tại cơ sở y tế đó.",05_96_2
"Trong trường hợp thỏa thuận về mang thai hộ lập cùng với thỏa thuận với cơ sở y tế, thỏa thuận này phải có xác nhận của người có thẩm quyền tại cơ sở y tế đó.",05_96_2
"Người mang thai hộ và chồng của người mang thai hộ có quyền và nghĩa vụ giống như cha mẹ trong việc chăm sóc sức khỏe sinh sản, chăm sóc và nuôi dưỡng con cho đến thời điểm giao đứa trẻ cho bên nhờ mang thai hộ; phải giao đứa trẻ cho bên nhờ mang thai hộ.",05_97_1
Người mang thai hộ có quyền nghĩa vụ như cha mẹ trong việc chăm sóc sức khỏe sinh sản và chăm sóc nuôi dưỡng con đến thời điểm phải giao đứa trẻ bên cho bên nhờ mang thai hộ,05_97_1
"Có chồng của người mang thai hộ có quyền, nghĩa vụ như cha mẹ trong việc chăm sóc sức khỏe sinh sản và chăm sóc, nuôi dưỡng con cho đến thời điểm phải giao cho bên nhờ mang thai hộ.",05_97_1
"Có người mang thai hộ có quyền, nghĩa vụ như cha mẹ trong việc chăm sóc sức khỏe sinh sản và chăm sóc, nuôi dưỡng cho đến thời điểm giao đứa trẻ cho bên nhờ mang thai hộ, phải giao đứa trẻ cho bên nhờ mang thai hộ.",05_97_1
"Người mang thai hộ phải tuân thủ quy định về thăm khám, các quy trình sàng lọc để phát hiện và điều trị các bất thường, dị tật của bào thai theo quy định của Bộ Y tế.",05_97_2
"Người mang thai hộ phải tuân thủ quy định về thăm khám, các quy trình sàng lọc để phát hiện và điều trị các bất thường, dị tật của bào thai theo quy định của Bộ Y tế.",05_97_2
"Có, người mang thai hộ phải tuân thủ quy định về thăm khám, các quy trình sàng lọc để phát hiện, điều trị các bất thường, dị tật của bào thai theo quy định của Bộ Y Tế",05_97_2
"Người mang thai hộ được hưởng chế độ thai sản theo quy định của pháp luật về lao động và bảo hiểm xã hội cho đến thời điểm giao đứa trẻ cho bên nhờ mang thai hộ. Trong trường hợp sinh con do mang thai hộ, không tính vào số con theo chính sách dân số và kế hoạch hóa gia đình.",05_97_3
"Có, người mang thai hộ được hưởng chế độ thai sản theo quy định của pháp luật về lao động và bảo hiểm xã hội cho đến thời điểm giao đứa trẻ cho bên nhờ mang thai hộ. Trong trường hợp kể từ ngày sinh đến thời điểm giao đứa trẻ mà thời gian hưởng chế độ thai sản chưa đủ 60 ngày thì vẫn được hưởng chế độ thai sản cho đến đủ 60 ngày.",05_97_3
"Không, việc sinh con do mang thai hộ không tính vào số con theo chính sách dân số và kế hoạch hóa gia đình",05_97_3
"Có, người mang thai hộ được hưởng chế độ thai sản theo quy định của pháp luật về lao động và bảo hiểm xã hội cho đến thời điểm giao đứa trẻ cho bên nhờ mang thai hộ. Trong trường hợp kể từ ngày sinh đến thời điểm giao đứa trẻ mà thời gian hưởng chế độ thai sản chưa đủ 60 ngày thì vẫn được hưởng chế độ thai sản cho đến đủ 60 ngày.",05_97_3
"Có, trường hợp kể từ ngày sinh đến thời điểm giao đứa trẻ mà thời gian hưởng thai sản chưa đủ 60 ngày thì người mang thai hộ vẫn được hưởng chế độ thai sản cho đến khi đủ 60 ngày",05_97_3
Bên mang thai hộ có quyền yêu cầu bên nhờ mang thai hộ thực hiện việc hỗ trợ và chăm sóc sức khỏe sinh sản.,05_97_4
"Có, bên mang thai hộ có quyền yêu cầu bên nhờ mang thai hộ thực hiện việc hỗ trợ, chăm sóc sức khỏe sinh sản",05_97_4
"Có, trường hợp vì lý do tính mạng, sức khỏe của mình, hoặc phát triển của thai nhi, người mang thai hộ có quyền quyết định số lượng bào thai, việc tiếp tục hay không tiếp tục mang thai.",05_97_4
"Trường hợp vì lý do tính mạng, sức khỏe của mình người mang thai hộ có quyền quyết định tiếp tục hay không tiếp tục mang thai phù hợp với quy định.",05_97_4
"Trong trường hợp vì lý do tính mạng, sức khỏe hoặc sự phát triển của thai nhi, người mang thai hộ có quyền quyết định về số lượng bào thai và việc tiếp tục hay không tiếp tục mang thai, phù hợp với quy định của pháp luật về chăm sóc sức khỏe sinh sản và sinh con bằng kỹ thuật hỗ trợ sinh sản.",05_97_4
"Trong trường hợp bên nhờ mang thai hộ từ chối nhận con, bên mang thai hộ có quyền yêu cầu Tòa án buộc bên nhờ mang thai hộ nhận con.",05_97_5
"Trong trường hợp bên nhờ mang thai hộ từ chối nhận con, bên mang thai hộ có quyền yêu cầu Tòa án buộc bên nhờ mang thai hộ nhận con.",05_97_5
"Trong trường hợp bên nhờ mang thai hộ từ chối nhận con, bên mang thai hộ có quyền yêu cầu Tòa án buộc bên nhờ mang thai hộ nhận con.",05_97_5
Bên nhờ mang thai hộ có nghĩa vụ chi trả các chi phí thực tế để bảo đảm việc chăm sóc sức khỏe sinh sản theo quy định của Bộ Y tế.,05_98_1
"Theo quy định, bên nhờ mang thai hộ có nghĩa vụ chi trả các chi phí thực tế để bảo đảm việc chăm sóc sức khỏe sinh sản theo quy định của Bộ Y tế",05_98_1
Bên nhờ mang thai hộ có nghĩa vụ chia trả các chi phí thực tế để đảm bảo việc chăm sóc sức khỏe sinh sản theo quy định của Bộ Y tế,05_98_1
"Quyền, nghĩa vụ của bên nhờ mang thai hộ đối với con phát sinh từ thời điểm con được sinh ra. Người mẹ nhờ mang thai hộ được hưởng chế độ thai sản theo quy định của pháp luật từ thời điểm nhận con cho đến khi con đủ 06 tháng tuổi.",05_98_2
"Quyền, nghĩa vụ của bên nhờ mang thai hộ đối với con phát sinh từ thời điểm con được sinh ra. ",05_98_2
"Có, người nhờ mang thai hộ được hưởng chế độ thai sản theo quy định của pháp luật về lao động và bảo hiểm xã hội từ thời điểm nhận con cho đến khi con đủ 6 tháng tuổi",05_98_2
"Bên nhờ mang thai hộ không được từ chối nhận con. Trong trường hợp chậm nhận con hoặc vi phạm nghĩa vụ về nuôi dưỡng, chăm sóc con, bên nhờ mang thai hộ phải có nghĩa vụ cấp dưỡng cho con theo quy định của Luật và bị xử lý theo pháp luật có liên quan. Nếu gây thiệt hại cho bên mang thai hộ, bên nhờ mang thai hộ còn phải bồi thường.",05_98_3
Khi bên nhờ mang thai hộ chậm nhận con phải có nghĩa vụ cáp dưỡng cho con theo quy định,05_98_3
"Trong trường hợp bên nhờ mang thai hộ vi phạm nghĩa vụ về nuôi dưỡng, chăm sóc con bị xử lý theo quy định của pháp luật, nếu gây thiệt hại cho bên mang thai hộ thì phải bồi thường",05_98_3
"Trong trường hợp bên nhờ mang thai hộ chết, con được hưởng thừa kế theo quy định của pháp luật đối với di sản của bên nhờ mang thai hộ.",05_98_3
Trong trường hợp bên nhờ mang thai hộ chết thì con được hưởng thừa kế theo quy định của pháp luật với di sản của bên nhờ mang thai hộ.,05_98_3
"Giữa con sinh ra từ mang thai hộ và các thành viên khác của gia đình bên nhờ mang thai hộ có các quyền, nghĩa vụ theo quy định của Luật Hôn nhân và Gia đình, Bộ luật dân sự và luật khác có liên quan.",05_98_4
"Trong trường hợp bên mang thai hộ từ chối giao con, bên nhờ mang thai hộ có quyền yêu cầu Tòa án buộc bên mang thai hộ giao con.",05_98_5
Trường hợp bên mang thai hộ từ chối giao con thì bên nhờ mang thai hộ có quyền yêu cầu Tòa án buộc bên mang thai hộ giao con,05_98_5
Trường hợp bên mang thai hộ từ chối giao con thì bên nhờ mang thai hộ có quyền yêu cầu Tòa án buộc bên mang thai hộ giao con,05_98_5
Tòa án là cơ quan có thẩm quyền giải quyết tranh chấp về sinh con bằng kỹ thuật hỗ trợ sinh sản và mang thai hộ.,05_99_1
Tòa án là cơ quan có thẩm quyền giải quyết tranh chấp về sinh con bằng kỹ thuật hỗ trợ sinh sản và mang thai hộ.,05_99_1
"Khi có yêu cầu giải quyết tranh chấp về sinh con bằng kỹ thuật mang thai hộ, Tòa án là cơ quan có thẩm quyền giải quyết. ",05_99_1
"Trong trường hợp chưa giao đứa trẻ mà cả hai vợ chồng bên nhờ mang thai hộ chết hoặc mất năng lực hành vi dân sự, bên mang thai hộ có quyền nhận nuôi đứa trẻ. Nếu bên mang thai hộ không nhận nuôi đứa trẻ, thì việc giám hộ và cấp dưỡng đối với đứa trẻ được thực hiện theo quy định của Luật Hôn nhân và Gia đình và Bộ luật dân sự.",05_99_2
"Khi chưa giao đứa trẻ mà cả hai vợ chồng nhờ mang thai hộ chết thì bên mang thai hộ có quyền nhận nuôi đứa trẻ, nếu bên mang thai hộ không nhận nuôi đứa trẻ thì việc giám hộ và cấp dưỡng đối với đứa trẻ thực hiện theo quy định.",05_99_2
"Khi chưa giao đứa trẻ mà cả hai vợ chồng nhờ mang thai hộ mất năng lực hành vi dân sự thì bên mang thai hộ có quyền nhận nuôi đứa trẻ, nếu bên mang thai hộ không nhận nuôi đứa trẻ thì việc giám hộ và cấp dưỡng đối với đứa trẻ thực hiện theo quy định.",05_99_2
"Tùy theo tính chất và mức độ vi phạm, các bên trong quan hệ sinh con bằng kỹ thuật hỗ trợ sinh sản và mang thai hộ có thể bị xử lý theo trách nhiệm dân sự, hành chính hoặc hình sự.",05_100
"Tùy theo tính chất và mức độ vi phạm, các bên trong quan hệ sinh con bằng kỹ thuật hỗ trợ sinh sản và mang thai hộ có thể bị xử lý theo trách nhiệm dân sự, hành chính hoặc hình sự.",05_100
