,question,answer,category,reward,feedback,,intent
46,"Theo Luật, quan hệ hôn nhân và gia đình được thực hiện như thế nào?","Quan hệ hôn nhân và gia đình được xác lập và thực hiện theo quy định của Luật này, được tôn trọng và được pháp luật bảo vệ.",CHUONG_1,1,,,1_5_1
,Quan hệ hôn nhân và gia đình được có được bảo vệ không?,"Có, quan hệ hôn nhân và gia đình được xác lập, thực hiện theo quy định được tôn trọng và được pháp luật bảo vệ",CHUONG_1,1,,,1_5_1
47,Luật cấm những hành vi nào liên quan đến hôn nhân?,"Luật cấm các hành vi như kết hôn giả tạo, tảo hôn, cưỡng ép kết hôn, lừa dối kết hôn, cản trở kết hôn.",CHUONG_1,1,,,1_5_2
,Các hành vi nào bị cấm trong hôn nhân và gia đình?,"Luật cấm các hành vi như kết hôn giả tạo, tảo hôn, cưỡng ép kết hôn, lừa dối kết hôn, cản trở kết hôn",CHUONG_1,1,,,1_5_2
,Nước ta cấm các hành vi nào trong hôn nhân và gia đình,"Luật cấm các hành vi như kết hôn giả tạo, tảo hôn, cưỡng ép kết hôn, lừa dối kết hôn, cản trở kết hôn.",CHUONG_1,1,,,1_5_2
48,Quy định nào về việc xử lý hành vi vi phạm pháp luật về hôn nhân và gia đình?,"Mọi hành vi vi phạm pháp luật về hôn nhân và gia đình phải được xử lý nghiêm minh, đúng pháp luật. Cơ quan, tổ chức, cá nhân có quyền yêu cầu Tòa án, cơ quan khác có thẩm quyền áp dụng biện pháp kịp thời ngăn chặn và xử lý người có hành vi vi phạm pháp luật về hôn nhân và gia đình.",CHUONG_1,1,,,1_5_3
,Vi phạm pháp luật về hôn nhân và gia đình sẽ được xử lý như thế nào?,"Mọi hành vi vi phạm pháp luật về hôn nhân và gia đình phải được xử lý nghiêm minh, đúng pháp luật. Cơ quan, tổ chức, cá nhân có quyền yêu cầu Tòa án, cơ quan khác có thẩm quyền áp dụng biện pháp kịp thời ngăn chặn và xử lý người có hành vi vi phạm pháp luật về hôn nhân và gia đình.",CHUONG_1,1,,,1_5_3
49,"Quy định nào về bảo vệ danh dự, nhân phẩm, và quyền riêng tư trong quá trình giải quyết vụ việc về hôn nhân và gia đình?","Danh dự, nhân phẩm, uy tín, bí mật đời tư và các quyền riêng tư khác của các bên được tôn trọng, bảo vệ trong quá trình giải quyết vụ việc về hôn nhân và gia đình.",CHUONG_1,1,,,1_5_4
,Danh dự và nhân phẩm của các bên trong quá trình giải quyết vụ hôn nhân và gia đình như thế nào?,"Danh dự, nhân phẩm, uy tín, bí mật đời tư và các quyền riêng tư khác của các bên được tôn trọng, bảo vệ trong quá trình giải quyết.",CHUONG_1,1,,,1_5_4
50,Luật cấm những hành vi nào liên quan đến việc sử dụng quyền về hôn nhân và gia đình để mục đích phi đạo đức?,"Lợi dụng việc thực hiện quyền về hôn nhân và gia đình để mua bán người, bóc lột sức lao động, xâm phạm tình dục hoặc có hành vi khác nhằm mục đích trục lợi là hành vi bị cấm theo Luật.",CHUONG_1,1,,,1_5_2
51,Làm thế nào để xử lý hành vi vi phạm pháp luật về hôn nhân và gia đình theo Luật?,"Mọi hành vi vi phạm pháp luật về hôn nhân và gia đình phải được xử lý nghiêm minh, đúng pháp luật. Cơ quan, tổ chức, cá nhân có quyền yêu cầu Tòa án, cơ quan khác có thẩm quyền áp dụng biện pháp kịp thời ngăn chặn và xử lý người có hành vi vi phạm pháp luật về hôn nhân và gia đình.",CHUONG_1,1,,,1_5_3
52,Quy định nào áp dụng đối với quan hệ hôn nhân và gia đình khi Luật này không quy định?,Các quy định của Bộ luật dân sự và các luật khác có liên quan đến quan hệ hôn nhân và gia đình sẽ được áp dụng trong trường hợp Luật này không quy định (theo Điều 6).,CHUONG_1,1,,,1_6
53,Luật có quy định gì về việc áp dụng tập quán về hôn nhân và gia đình?,"Trong trường hợp pháp luật không quy định và các bên không có thỏa thuận, tập quán tốt đẹp thể hiện bản sắc của mỗi dân tộc, không trái với nguyên tắc quy định tại Điều 2 và không vi phạm điều cấm của Luật này sẽ được áp dụng (theo Điều 7).",CHUONG_1,1,,,1_7_1
54,Điều 7 nói gì về việc áp dụng tập quán về hôn nhân và gia đình?,"Theo Điều 7, trong trường hợp pháp luật không quy định và các bên không có thỏa thuận, tập quán tốt đẹp thể hiện bản sắc của mỗi dân tộc, không trái với nguyên tắc quy định tại Điều 2 và không vi phạm điều cấm của Luật này sẽ được áp dụng.",CHUONG_1,1,,,1_7_2
