,question,answer,feedback,reward,category,intent
25,"Tài sản của con khi chưa đủ tuổi , cha mẹ có quyền sử dụng giao dịch tài sản đó không?","Trường hợp cha mẹ quản lý tài sản của con dưới 15 tuổi thì có quyền định đoạt tài sản đó vì lợi ích của con, nếu con từ 9 tuổi trở lên phải xem xét nguyện vọng của con.",,1,CHUONG05,05_77_1
,"Tài sản của con khi chưa đủ tuổi , người giám hộ có quyền sử dụng giao dịch tài sản đó không?","Trường hợp người giám hộ quản lý tài sản của con dưới 15 tuổi thì có quyền định đoạt tài sản đó vì lợi ích của con, nếu con từ 9 tuổi trở lên phải xem xét nguyện vọng của con.",,1,CHUONG05,05_77_1
,Ai có quyền định đoạt tài sản của con chưa đủ tuổi?,"Đối với con dưới 15 tuổi, cha mẹ hoặc người giám hộ quản lý tài sản riêng của con có quyền định đoạt tài sản đó vì lợi ích của con.",,1,CHUONG05,05_77_1
,Con bao nhiêu tuổi có quyền định đoạt tài sản riêng?,"Con từ đủ 15 tuổi đến dưới 18 tuổi có quyền định đoạt tài sản riêng, trừ bất động sản, dùng tài sản kinh doanh phải có sự đồng ý bằng văn bản của cha mẹ hoặc người giám hộ.",,1,CHUONG05,05_77_2
,Dưới 18 tuổi có thể đăng ký quyền sở hữu bất động sản được không?,"Không, bất động sản, động sản có đăng ký quyền sở hữu phải có sự đồng ý bằng văn bản của cha mẹ hoặc người giám hộ.",,1,CHUONG05,05_77_2
,Con có quyền định đoạt bất động sản không?,Con từ 15 tuổi đến dưới 18 tuổi phải có sự đồng ý bằng văn bản của cha mẹ hoặc người giám hộ đối với tài sản liên quan bất động sản.,,1,CHUONG05,05_77_2
,"Con bị vấn đề tâm thần, quyền định đoạt tài sản của con như thế nào?",Trong hợp con mất năng lực hành vi dân sự thì định đoạt tài sản riêng của con do người giám hộ thực hiện.,,1,CHUONG05,05_77_3
,"Con bị mất ý thức, cha mẹ có thể định đoạt tài sản của con không?",Trong hợp con mất năng lực hành vi dân sự thì định đoạt tài sản riêng của con do người giám hộ thực hiện.,,1,CHUONG05,05_77_3
26,"Quyền, nghĩa vụ của cha nuôi, mẹ nuôi, con nuôi là gì?","Cha nuôi, mẹ nuôi, con nuôi có quyền và nghĩa vụ tương tự như cha, mẹ, con theo quy định của luật hôn nhân và gia đình và Luật nuôi con nuôi. ",,1,CHUONG05,05_78_1
,"Cha mẹ nuôi, con nuôi có quyền và nghĩa vụ giống cha mẹ con ruột không?","Cha nuôi, mẹ nuôi, con nuôi có quyền và nghĩa vụ tương tự như cha, mẹ, con theo quy định của luật hôn nhân và gia đình và Luật nuôi con nuôi. ",,1,CHUONG05,05_78_1
,Chấm dứt nuôi con nuôi thì quyền và nghĩa vụ như thế nào?,"Trường hợp chấm dứt việc nuôi con nuôi thì quyền và nghĩa vụ cha nuôi, mẹ nuôi với con nuôi chấm dứt kể từ ngày quyết định của Tòa án có hiệu lực pháp luật",,1,CHUONG05,05_78_1
,"Quyền và nghĩa vụ cha mẹ nuôi, con nuôi chấm dứt khi nào?",Kể từ ngày quyết định chấm dứt việc nuôi con nuôi của Tòa án có hiệu lực pháp luật.,,1,CHUONG05,05_78_1
,"Con đã được người khác nhận nuôi, quyền của cha mẹ đẻ có mất không?",Quyền và nghĩa vụ của cha mẹ đẻ và con đã làm con nuôi của người khác được thực hiện theo quy định của Luật nuôi con nuôi,,1,CHUONG05,05_78_2
,Cha mẹ ruột và con ruột có thể khôi phục quyền nghĩa vụ khi con được nhận nuôi không?,Được quyền và nghĩa vụ cha mẹ ruột với con ruột được khôi phục kể từ thời điểm quan hệ nuôi con nuôi chấm dứt.,,1,CHUONG05,05_78_3
,Quyền và nghĩa vụ cha mẹ ruột đới với con ruột được người khác nhận nuôi khôi phục được không?,Quyền và nghĩa vụ cha mẹ ruột đối với con ruột được khôi phục sau khi quan hệ con nuôi kết thúc,,1,CHUONG05,05_78_3
,"Sau khi chấm dứt quan hệ con nuôi, cha mẹ đẻ không còn hoặc không có đủ điều kiện nuôi con thì được giải quyết như thế nào?",Trong trường hợp cha mẹ ruột không còn hoặc không có đủ điều kiện để nuôi con thì Tòa án giải quyết việc chấm dứt nuôi con nuôi và chỉ định người giám hộ cho con.,,1,CHUONG05,05_78_3
,Tòa án chỉ định người giám hộ cho con sau khi kết thúc quan hệ nuôi con nuôi được không?,"Được, trong trường hợp sau cha mẹ ruột không còn hoặc không đủ điều kiện nuôi con chưa thành niên, con đã thành niên mất năng lực hành vi dân sự, không có khả năng lao động, không có tài sản tự nuôi mình Tòa án chỉ định người giám hộ cho con",,1,CHUONG05,05_78_3
,"Quyền, nghĩa vụ giữa cha đẻ, mẹ đẻ và con đẻ khi quan hệ nuôi con nuôi chấm dứt là gì?","Theo Điều 78, quyền, nghĩa vụ giữa cha đẻ, mẹ đẻ và con đẻ được khôi phục kể từ thời điểm quan hệ nuôi con nuôi chấm dứt. Trong trường hợp cha đẻ, mẹ đẻ không còn hoặc không có đủ điều kiện để nuôi con chưa thành niên, con đã thành niên mất năng lực hành vi dân sự hoặc không có khả năng lao động và không có tài sản để tự nuôi mình, thì Tòa án giải quyết việc chấm dứt nuôi con nuôi và chỉ định người giám hộ cho con theo quy định của Bộ luật dân sự.",,1,CHUONG05,05_78_3
28,"Quyền và nghĩa vụ của cha dượng, mẹ kế là gì?","Theo Điều 79, cha dượng, mẹ kế có quyền và nghĩa vụ trông nom, nuôi dưỡng, chăm sóc, giáo dục con riêng của bên kia cùng sống chung với mình theo quy định tại các điều 69, 71 và 72 của Luật Hôn Nhân và Gia Đình. Con riêng cũng có quyền và nghĩa vụ chăm sóc, phụng dưỡng cha dượng, mẹ kế cùng sống chung với mình theo quy định tại Điều 70 và Điều 71 của Luật Hôn Nhân và Gia Đình.",,1,CHUONG05,05_79_1
,"Sau khi tái hôn, cha dượng mẹ kế có phải nuôi dưỡng con riêng của bên kia khong?","Cha dượng, mẹ kế có quyền và nghĩa vụ trông nom, nuôi dưỡng, chăm sóc, giáo dục con riêng của bên kia cùng sống chung với mình ",,1,CHUONG05,05_79_1
,Cha dượng hoặc mẹ kế có quyền và nghĩa vụ gì?,"Cha dượng, mẹ kế có quyền và nghĩa vụ trông nom, nuôi dưỡng, chăm sóc, giáo dục con riêng của bên kia cùng sống chung với mình ",,1,CHUONG05,05_79_1
,Con riêng có quyền nghĩa vụ gì đối với cha dượng hoặc mẹ kế không?,"Con riêng có quyền và nghĩa vụ chăm sóc, phụng dưỡng cha dượng, mẹ kế cùng sống chung với mình",,1,CHUONG05,05_79_2
,Quyền và nghĩa vụ của con riêng với cha mẹ kế,"Con riêng có quyền và nghĩa vụ chăm sóc, phụng dưỡng cha dượng, mẹ kế cùng sống chung với mình",,1,CHUONG05,05_79_2
29,"Quyền, nghĩa vụ của con dâu, con rể, cha mẹ vợ, cha mẹ chồng là gì?","Theo Điều 80, trong trường hợp con dâu, con rể sống chung với cha mẹ chồng, cha mẹ vợ thì giữa các bên có các quyền, nghĩa vụ tôn trọng, quan tâm, chăm sóc và giúp đỡ nhau theo quy định tại các điều 69, 70, 71 và 72 của Luật Hôn Nhân và Gia Đình.",,1,CHUONG05,05_80
,Con dâu có phải chăm sóc cha mẹ chồng không?,"Trường hợp con dâu sống chung với cha mẹ chồng giữa các bên có quyền nghĩa vụ tôn trọng, quan tâm, chăm sóc và giúp đỡ nhau",,1,CHUONG05,05_80
,Con rể có phải chăm sóc cha mẹ vợ không?,"Trường hợp con rể sống chung với cha mẹ vợ giữa các bên có quyền nghĩa vụ tôn trọng, quan tâm, chăm sóc và giúp đỡ nhau",,1,CHUONG05,05_80
,Sau khi kết hôn sống chung với cha mẹ chồng con dâu cần thực hiện những gì?,"Trường hợp con dâu sống chung với cha mẹ chồng giữa các bên có quyền nghĩa vụ tôn trọng, quan tâm, chăm sóc và giúp đỡ nhau.",,1,CHUONG05,05_80
30,"Sau khi ly hôn, cha mẹ có quyền, nghĩa vụ gì đối với con?","Theo Điều 81, sau khi ly hôn, cha mẹ vẫn có quyền, nghĩa vụ trông nom, chăm sóc, nuôi dưỡng, giáo dục con chưa thành niên, con đã thành niên mất năng lực hành vi dân sự hoặc không có khả năng lao động và không có tài sản để tự nuôi mình theo quy định của Luật Hôn Nhân và Gia Đình, Bộ luật dân sự và các luật khác có liên quan.",,1,CHUONG05,05_81_1
,"Sau khi ly hôn, cha mẹ có phải nuôi con không?","Sau khi ly hôn, cha mẹ vẫn có quyền nghĩa vụ trông nuôi, chăm sóc nuôi dưỡng giáo dục con chưa thành niên, con mất năng lực hành vi dân sự, không có khả năng lao động, không có tài sản để tự nuôi mình",,1,CHUONG05,05_81_1
,"Vợ chồng sau khi ly hôn, có thể có quyền chăm sóc con không?","Có, sau khi ly hôn cha mẹ vẫn có quyền và nghĩa vụ trông nuôi, chăm sóc nuôi dưỡng giáo dục con chưa thành niên, con mất năng lực hành vi dân sự, không có khả năng lao động, không có tài sản để tự nuôi mình.",,1,CHUONG05,05_81_1
31,"Sau khi ly hôn, vợ, chồng có thể thỏa thuận về việc nuôi con như thế nào?","Theo Điều 81, vợ, chồng sau khi ly hôn có thể thỏa thuận về người trực tiếp nuôi con, nghĩa vụ, quyền của mỗi bên đối với con. Trường hợp không thỏa thuận được, Tòa án sẽ quyết định giao con cho một bên trực tiếp nuôi căn cứ vào quyền lợi về mọi mặt của con. Nếu con từ đủ 07 tuổi trở lên, cần xem xét nguyện vọng của con.",,1,CHUONG05,05_81_2
,"Vợ chồng không thỏa thuận được quyền, nghĩa vụ nuôi con thì làm sao?",Trường hợp không thỏa thuận được thì Tòa án giao con cho một bên trực tiếp nuôi con căn cứ vào quyền lợi mọi mặt của con; nếu con đủ 7 tuổi trở lên thì xem xét nguyện vọng của con.,,1,CHUONG05,05_81_2
,Sau khi ly hôn có thể thỏa thuận nuôi con không?,"Có, vợ chồng thỏa thuận về người trực tiếp nuôi con, nghĩa vụ, quyền của mỗi bên sau khi ly hôn đối với con; trường hợp không thỏa thuận được thì Tòa án giao con cho một bên trực tiếp nuôi con căn cứ vào quyền lợi mọi mặt của con; nếu con đủ 7 tuổi trở lên thì xem xét nguyện vọng của con.",,1,CHUONG05,05_81_2
32,Con dưới 36 tháng tuổi sẽ được giao cho ai sau khi ly hôn?,"Theo Điều 81, con dưới 36 tháng tuổi sẽ được giao cho mẹ trực tiếp nuôi. Trường hợp người mẹ không đủ điều kiện để trực tiếp trông nom, chăm sóc, nuôi dưỡng, giáo dục con hoặc cha mẹ có thỏa thuận khác phù hợp với lợi ích của con.",,1,CHUONG05,05_81_3
,Người mẹ có quyền nuôi con dưới 36 tháng không?,"Có, con dưới 36 tháng tuổi được giao cho mẹ trực tiếp nuôi, nếu mẹ đủ điều kiện để trực tiếp nuôi con",,1,CHUONG05,05_81_3
,Điều kiện gì để mẹ trực tiếp nuôi con?,Con dưới 36 tháng tuổi được giao cho mẹ trực tiếp nuôi.,,1,CHUONG05,05_81_3
33,"Cha, mẹ không trực tiếp nuôi con có nghĩa vụ gì theo Điều 82?","Theo Điều 82, cha, mẹ không trực tiếp nuôi con có nghĩa vụ tôn trọng quyền của con được sống chung với người trực tiếp nuôi.",,1,CHUONG05,05_82_1
,"Sau khi ly hôn, người không trực tiếp nuôi con có thể yêu cầu con sống chung với mình được không?","Không, cha mẹ không trực tiếp nuôi con có nghĩa vụ tôn trọng quyền của con được sống chung với người trực tiếp nuôi",,1,CHUONG05,05_82_1
34,"Cha, mẹ không trực tiếp nuôi con có nghĩa vụ gì khác theo Điều 82?","Theo Điều 82, cha, mẹ không trực tiếp nuôi con có nghĩa vụ cấp dưỡng cho con.",,1,CHUONG05,05_82_2
,Cha mẹ sau khi ly hôn không trực tiếp nuôi con có phải cấp dưỡng cho con không?,"Có, cha mẹ không trực tiếp nuôi con có nghĩa vụ cấp dưỡng cho con.",,1,CHUONG05,05_82_2
,Người không trực tiếp nuôi con có cần phải chu cấp cho con không?,"Có, cha mẹ không trực tiếp nuôi con có nghĩa vụ cấp dưỡng cho con.",,1,CHUONG05,05_82_2
,"Sau khi ly hôn, chồng không có quyền nuôi con có phải chu cấp cho con hay không?","Có, cha không trực tiếp nuôi con có nghĩa vụ cấp dưỡng cho con",,1,CHUONG05,05_82_2
,"Sau khi ly hôn, vợ không có quyền nuôi con có phải chu cấp cho con hay không?","Có, mẹ không trực tiếp nuôi con có nghĩa vụ cấp dưỡng cho con",,1,CHUONG05,05_82_2
35,Người không trực tiếp nuôi con sau khi ly hôn có quyền và nghĩa vụ gì theo Điều 82?,"Theo Điều 82, sau khi ly hôn, người không trực tiếp nuôi con có quyền, nghĩa vụ thăm nom con mà không ai được cản trở.",,1,CHUONG05,05_82_3
,"Sau khi ly hôn , người chồng có thể thăm con không?","Có, sau khi ly hôn người không trực tiếp nuôi con có quyền, nghĩa vụ thăm nom con mà không ai được cản trở.",,1,CHUONG05,05_82_3
,"Sau khi ly hôn , mẹ có thể thăm con không?","Có, sau khi ly hôn người không trực tiếp nuôi con có quyền, nghĩa vụ thăm nom con mà không ai được cản trở.",,1,CHUONG05,05_82_3
,Người không trực tiếp nuôi con có thể thăm nom con được không?,"Có, sau khi ly hôn người không trực tiếp nuôi con có quyền, nghĩa vụ thăm nom con mà không ai được cản trở.",,1,CHUONG05,05_82_3
36,"Người trực tiếp nuôi con có quyền làm gì nếu cha, mẹ không trực tiếp nuôi con lạm dụng quyền thăm nom?","Nếu cha, mẹ không trực tiếp nuôi con lạm dụng việc thăm nom để cản trở hoặc gây ảnh hưởng xấu, người trực tiếp nuôi con có quyền yêu cầu Tòa án hạn chế quyền thăm nom con của họ theo quy định của Điều 82.",,1,CHUONG05,05_82_3
,Cha lợi dụng quyền thăm nom để gây áp lực cản trở tình cảm mẹ con phải làm gì?,"Cha, mẹ không trực tiếp nuôi con lạm dụng việc thăm nom cản trở gây ảnh hưởng xấu đến việc trông nom, chăm sóc, nuôi dưỡng, giáo dục con thì người trực tiếp nuôi con có quyền yêu cầu Tòa án hạn chế quyền thăm nom con của người đó",,1,CHUONG05,05_82_3
,Mẹ lấy quyền thăm nom con để mang con sang nhà người mẹ sống có thể yêu cầu tòa giải quyết không?,"Có thể yêu cầu tòa án hạn chế quyền thăm nom con của người không trực tiếp nuôi con nếu họ lợi dụng việc thăm nom để cản trở gây ảnh hưởng xấu đến việc trông nom, nuôi dưỡng, giáo dục con của người trực tiếp nuôi con.",,1,CHUONG05,05_82_3
37,"Cha, mẹ trực tiếp nuôi con có quyền yêu cầu gì đối với người không trực tiếp nuôi con?","Theo Điều 83, cha, mẹ trực tiếp nuôi con có quyền yêu cầu người không trực tiếp nuôi con thực hiện các nghĩa vụ theo quy định tại Điều 82 của Luật Hôn Nhân và Gia Đình; yêu cầu người không trực tiếp nuôi con cùng các thành viên gia đình tôn trọng quyền được nuôi con của mình.",,1,CHUONG05,05_83_1
,"Sau ly hôn, gia đình chồng gây áp lực không đồng ý cho mẹ nuôi con?","Trường hợp người mẹ là người trực tiếp nuôi con theo quyết định tòa án, có quyền yêu cầu người không trực tiếp nuôi con và các thành viên gia đình tôn trọng quyền nuôi con của mình.",,1,CHUONG05,05_83_1
,Mẹ có thể yêu cầu người cha cấp dưỡng cho con sau khi ly hôn không?,"Có, mẹ trực tiếp nuôi con có quyền yêu cầu người không trực tiếp nuôi con thực hiện các nghĩa vụ của người không trực tiếp nuôi con sau khi ly hôn, gồm tôn trọng quyền của con sống chung với người trực tiếp nuôi, cấp dưỡng cho con.",,1,CHUONG05,05_83_1
38,"Cha, mẹ trực tiếp nuôi con có nghĩa vụ gì đối với người không trực tiếp nuôi con?","Theo Điều 83, cha, mẹ trực tiếp nuôi con có nghĩa vụ tôn trọng quyền của con được sống chung với người trực tiếp nuôi theo quy định tại Điều 82; không được cản trở người không trực tiếp nuôi con trong việc thăm nom, chăm sóc, nuôi dưỡng, giáo dục con.",,1,CHUONG05,05_83_2
,Gia đình vợ sau khi ly hôn không cho bố thăm nom con được không?,"Không, người trực tiếp nuôi con cùng thành viên gia đình không được cản trở người không trực tiếp nuôi con thăm nom, chăm sóc nuôi dưỡng, giáo dục con.",,1,CHUONG05,05_83_2
39,Khi nào Tòa án có thể quyết định việc thay đổi người trực tiếp nuôi con?,"Theo Điều 84, Tòa án có thể quyết định việc thay đổi người trực tiếp nuôi con trong trường hợp có yêu cầu của cha, mẹ hoặc cá nhân, tổ chức và khi có một trong các căn cứ như thỏa thuận của cha, mẹ phù hợp với lợi ích của con hoặc người trực tiếp nuôi con không đủ điều kiện trực tiếp trông nom, chăm sóc, nuôi dưỡng, giáo dục con.",,1,CHUONG05,05_84_1
,Có thể thay đổi người trực tiếp nuôi con sau khi ly hôn không?,Có thể yêu cầu Tòa án quyết định việc thay đổi người trực tiếp nuôi con tùy vào các trường hợp.,,1,CHUONG05,05_84_1
40,Khi nào việc thay đổi người trực tiếp nuôi con được giải quyết?,"Theo Điều 84, việc thay đổi người trực tiếp nuôi con được giải quyết khi có một trong các căn cứ như thỏa thuận của cha, mẹ phù hợp với lợi ích của con hoặc người trực tiếp nuôi con không còn đủ điều kiện trực tiếp trông nom, chăm sóc, nuôi dưỡng, giáo dục con.",,1,CHUONG05,05_84_2
,Cha mẹ có thể thay đổi người trực tiếp nuôi con trong trường hợp nào?,Trường hợp cha mẹ có thỏa thuận việc thay đổi người trực tiếp nuôi con phù hợp với lợi ích của con.,,1,CHUONG05,05_84_2
,Khi thỏa thuận thay đổi người trực tiếp nuôi con sau khi ly hôn cha mẹ cần chú ý gì?,Cha mẹ cần chú ý người trực tiếp nuôi con phù hợp với lợi ích của con,,1,CHUONG05,05_84_2
41,Trường hợp nào có thể yêu cầu thay đổi người trực tiếp nuôi con? ,"Cha mẹ có thỏa thuận việc thay đổi người trực tiếp nuôi phù hợp với lợi ích của con. Người trực tiếp nuôi con không còn đủ điều kiện trực tiếp trông nom, chăm sóc, nuôi dưỡng, giáo dục con.",,1,CHUONG05,05_84_2
,Khi người trực tiếp nuôi con không đủ điều kiện nuôi con có thể yêu cầu đổi người trực tiếp nuôi con không?,"Có, Người trực tiếp nuôi con không còn đủ điều kiện trực tiếp trông nom, chăm sóc, nuôi dưỡng, giáo dục con căn cứ theo điều kiện này được quyền yêu cầu tòa thay đổi người trực tiếp nuôi con",,1,CHUONG05,05_84_2
42,Việc thay đổi người trực tiếp nuôi con phải xem xét điều gì?,"Theo Điều 84, việc thay đổi người trực tiếp nuôi con phải xem xét nguyện vọng của con từ đủ 07 tuổi trở lên.",,1,CHUONG05,05_84_3
,Thay đổi người trực tiếp nuôi con có phải hỏi ý kiến con không?,"Có, việc thay đổi người trực tiếp nuôi con phải xem xét nguyện vọng của con từ 7 tuổi trở lên.",,1,CHUONG05,05_84_3
,Khi nào cần hỏi nguyện vọng của con khi đổi người trực tiếp nuôi con?,Khi con từ đủ 7 tuổi trở lên phải xem xét nguyện vọng của con khi thay đổi người trực tiếp nuôi con,,1,CHUONG05,05_84_3
43,"Trong trường hợp xét thấy cả cha và mẹ đều không đủ điều kiện trực tiếp nuôi con, Tòa án quyết định như thế nào?","Theo Điều 84, trong trường hợp xét thấy cả cha và mẹ đều không đủ điều kiện trực tiếp nuôi con, Tòa án quyết định giao con cho người giám hộ theo quy định của Bộ luật dân sự.",,1,CHUONG05,05_84_4
,Khi cha mẹ đều không đủ điều kiện trực tiếp nuôi con sau khi ly hôn được giải quyết như thế nào?,Tòa án quyết định giao con cho người giám hộ theo quy định của Bộ luật dân sự.,,1,CHUONG05,05_84_4
,Tòa án làm gì khi cha mẹ không đủ điều kiện trực tiếp nuôi con sau ly hôn?,Trường hợp cả cha và mẹ đều không đủ điều kiện trực tiếp nuôi con thì Tòa án quyết định giao con cho người giám hộ theo quy định của Bộ luật dân sự,,1,CHUONG05,05_84_4
,Ai có quyền yêu cầu thay đổi người trực tiếp nuôi con khi người trực tiếp nuôi con không đủ điều kiện chăm sóc con?,"Người thân thích, cơ quan quản lý nhà nước về gia đình, cơ quan quản lý nhà nước về trẻ em, hội liên hiệp phụ nữ có quyền yêu cầu thay đổi người trực tiếp nuôi con trên cơ sở lợi ích của con.",,1,CHUONG05,05_84_5
,Khi mẹ không đủ điều kiện nuôi con sau khi ly hôn người thân có thể liên hệ ai để thay đổi người trực tiếp nuôi con?,"Căn cứ cơ sở lợi ích của con có thể liên hệ các tổ chức cơ quan quản lý nhà nước về gia đình, cơ quan quản lý nhà nước về trẻ em, hội liên hiệp phụ nữ để yêu cầu thay đổi người trực tiếp nuôi con",,1,CHUONG05,05_84_5
44,"Khi nào cha, mẹ bị hạn chế quyền đối với con chưa thành niên?","Theo Điều 85, cha, mẹ bị hạn chế quyền đối với con chưa thành niên trong các trường hợp như bị kết án về một trong các tội xâm phạm tính mạng, sức khỏe, nhân phẩm, danh dự của con với lỗi cố ý hoặc có hành vi vi phạm nghiêm trọng nghĩa vụ trông nom, chăm sóc, nuôi dưỡng, giáo dục con; phá tán tài sản của con; có lối sống đồi trụy; xúi giục, ép buộc con làm những việc trái pháp luật, trái đạo đức xã hội.",,1,CHUONG05,05_85_1
,Cha mẹ xúi giục con làm việc trái pháp luật trái đạo đức xã hội sẽ bị gì?,"Đối với con chưa thành niên, cha mẹ bị hạn chế quyền đối với con.",,1,CHUONG05,05_85_1
,Cha mẹ có lối sống đồi trụy có quyền đối với con chưa thành niên không?,Cha mẹ có lối sống đồi trụy bị hạn chế quyền đối với con chưa thành niên,,1,CHUONG05,05_85_1
,Trường hợp nào cha mẹ bị hạn chế quyền đối với con chưa thành niên?,"Cha mẹ bị hạn chế quyền đối với con chưa thành niên trong các trường hợp: Bị kết án về một trong các tội xâm phạm tính mạng, sức khỏe, nhân phảm, danh dự của con, cố ý, vi phạm nghiêm trọng nghĩa vụ trông nom, chăm sóc, nuôi dưỡng, giáo dục con, phá tán tài sản của con, cố lối sống đồi trụy, xúi giục,ép buộc con làm những việc trái pháp luật, trái đạo dức xã hội.",,1,CHUONG05,05_85_1
45,"Tòa án có thể ra quyết định gì đối với cha, mẹ trong trường hợp bị hạn chế quyền đối với con chưa thành niên?","Theo Điều 85, Tòa án có thể tự mình hoặc theo yêu cầu của cá nhân, cơ quan, tổ chức quy định tại Điều 86 của Luật Hôn Nhân và Gia Đình ra quyết định không cho cha, mẹ trông nom, chăm sóc, giáo dục con, quản lý tài sản riêng của con hoặc đại diện theo pháp luật cho con trong thời hạn từ 01 năm đến 05 năm. Tòa án có thể xem xét việc rút ngắn thời hạn này.",,1,CHUONG05,05_85_2
46,"Ai có thể yêu cầu Tòa án ra quyết định hạn chế quyền của cha, mẹ đối với con chưa thành niên?","Theo Điều 85, Tòa án có thể tự mình hoặc theo yêu cầu của cá nhân, cơ quan, tổ chức quy định tại Điều 86 của Luật Hôn Nhân và Gia Đình ra quyết định hạn chế quyền của cha, mẹ đối với con chưa thành niên.",,1,CHUONG05,05_85_2
47,"Thời hạn hạn chế quyền của cha, mẹ đối với con chưa thành niên là bao lâu?","Theo Điều 85, thời hạn hạn chế quyền của cha, mẹ đối với con chưa thành niên có thể là từ 01 năm đến 05 năm. Tòa án có thể xem xét việc rút ngắn thời hạn này.",,1,CHUONG05,05_85_2
48,"Ai có quyền yêu cầu Tòa án hạn chế quyền của cha, mẹ đối với con chưa thành niên?","Cha, mẹ, người giám hộ của con chưa thành niên, theo quy định của pháp luật về tố tụng dân sự, có quyền yêu cầu Tòa án hạn chế quyền của cha, mẹ đối với con chưa thành niên.",,1,CHUONG05,05_86_1
,Mẹ có thể yêu cầu tòa can thiệp khi cha bạo hành con không?,"Mẹ, người giám hộ của con chưa thành niên có quyền yêu cầu Tòa án hạn chế quyền cha đối với con chưa thành niên",,1,CHUONG05,05_86_1
49,"Ai còn có quyền yêu cầu Tòa án hạn chế quyền của cha, mẹ đối với con chưa thành niên theo Điều 86 ngoài cha, mẹ, người giám hộ?","Theo Điều 86, cá nhân, cơ quan, tổ chức sau đây, theo quy định của pháp luật về tố tụng dân sự, có quyền yêu cầu Tòa án hạn chế quyền của cha, mẹ đối với con chưa thành niên: a) Người thân thích; b) Cơ quan quản lý nhà nước về gia đình; c) Cơ quan quản lý nhà nước về trẻ em; d) Hội liên hiệp phụ nữ.",,1,CHUONG05,05_86_2
,"Ngoài cha, mẹ, người giám hộ còn ai khác có thể yêu cầu hạn chế quyền cha mẹ đối với con chưa thành niên?","Người thân thích, cơ quan quản lý nhà nước về gia đình, cơ quan quản lý nhà nước về trẻ em, hội liên hiệp phụ nữ có quyền yêu cầu Tòa án hạn chế quyền của cha mẹ đối với con chưa thành niên",,1,CHUONG05,05_86_2
,Họ hàng có thể yêu cầu tòa án giúp đỡ khi thấy con cháu bị cha mẹ bạo hành không?,"Được, người thân thích có quyền yêu cầu Tòa án hạn chế quyền của cha mẹ đối với con chưa thành niên trong trường hợp này.",,1,CHUONG05,05_86_2
50,"Khi nào cá nhân, cơ quan, tổ chức khác có quyền đề nghị yêu cầu Tòa án hạn chế quyền của cha, mẹ đối với con chưa thành niên?","Theo Điều 86, cá nhân, cơ quan, tổ chức khác khi phát hiện cha, mẹ có hành vi vi phạm quy định tại khoản 1 Điều 85 của Luật Hôn Nhân và Gia Đình có quyền đề nghị cơ quan, tổ chức quy định tại các điểm b, c và d khoản 2 Điều này yêu cầu Tòa án hạn chế quyền của cha, mẹ đối với con chưa thành niên.",,1,CHUONG05,05_86_3
,Khi phát hiện cha mẹ xúi giục ép con làm việc trái pháp luật cần liên hệ với cơ quan nào?,"Khi phát hiện cha mẹ có hành vi vị phạm với con chưa thành niên có quyền đề nghị cơ quan quản lý nhà nước về gia đình, cơ quan quản lý nhà nước về trẻ em, hội liên hiệp phụ nữ hạn chế quyền của cha mẹ đối với con.",,1,CHUONG05,05_86_3
51,"Trong trường hợp cha hoặc mẹ bị hạn chế quyền đối với con chưa thành niên, ai thực hiện quyền trông nom, nuôi dưỡng, chăm sóc, giáo dục con, quản lý tài sản riêng của con?","Trong trường hợp cha hoặc mẹ bị hạn chế quyền đối với con chưa thành niên, thì người kia thực hiện quyền trông nom, nuôi dưỡng, chăm sóc, giáo dục con, quản lý tài sản riêng của con và đại diện theo pháp luật cho con.",,1,CHUONG05,05_87_1
,Trường hợp cha hoặc mẹ bị Tòa án hạn chế quyền đối với con chưa thành niên thì ai thực hiện quyền nghĩa vụ với con?,"Trong trường hợp cha hoặc mẹ bị Tòa án hạn chế quyền đối với con chưa thành niên thì người kia thực hiện uyền trông nom, nuôi dưỡng, giáo dục con, quản lý tài sản riêng của con và đại diện pháp luật cho con",,1,CHUONG05,05_87_1
52,"Khi nào việc trông nom, chăm sóc, giáo dục con và quản lý tài sản riêng của con chưa thành niên được giao cho người giám hộ?","Việc trông nom, chăm sóc, giáo dục con và quản lý tài sản riêng của con chưa thành niên được giao cho người giám hộ theo quy định của Bộ luật dân sự và Luật Hôn Nhân và Gia Đình trong các trường hợp sau đây: a) Cha và mẹ đều bị Tòa án hạn chế quyền đối với con chưa thành niên; b) Một bên cha, mẹ không bị hạn chế quyền đối với con chưa thành niên nhưng không đủ điều kiện để thực hiện quyền, nghĩa vụ đối với con; c) Một bên cha, mẹ bị hạn chế quyền đối với con chưa thành niên và chưa xác định được bên cha, mẹ còn lại của con chưa thành niên.",,1,CHUONG05,05_87_2
,Mẹ bị hạn chế quyền đối với con nhưng xác định được cha trường hợp này được giải quyết như thế nào?,Con được giao cho người giám hộ theo quy định khi mẹ bị hạn chế quyền với con và chưa xác định được bên cha của con chưa thành niên.,,1,CHUONG05,05_87_2
,"Cha bị hạn chế quyền với con nhưng mẹ không đủ điều kiện thực hiện quyền nghĩa vụ với con, con được giao cho ai?",Con được giao cho người giám hộ theo quy định khi cha bị hạn chế quyền đối với con và mẹ không đủ điều kiện thực hiện quyền nghĩa vụ đối với con,,1,CHUONG05,05_87_2
